timestamp, power.draw [W] - P100, power.limit [W] - P100, power.management - P100
03:54.0, 124.98 W, 250.00 W, Enabled
03:59.0, 167.42 W, 250.00 W, Enabled
04:04.0, 90.98 W, 250.00 W, Enabled
04:09.0, 131.76 W, 250.00 W, Enabled
04:14.0, 169.33 W, 250.00 W, Enabled
04:19.0, 91.71 W, 250.00 W, Enabled
04:24.0, 164.70 W, 250.00 W, Enabled
04:29.0, 106.61 W, 250.00 W, Enabled
04:34.0, 172.74 W, 250.00 W, Enabled
04:39.0, 132.85 W, 250.00 W, Enabled
04:44.0, 133.40 W, 250.00 W, Enabled
04:49.1, 172.63 W, 250.00 W, Enabled
04:54.1, 119.87 W, 250.00 W, Enabled
04:59.1, 151.06 W, 250.00 W, Enabled
05:04.1, 166.21 W, 250.00 W, Enabled
05:09.1, 110.79 W, 250.00 W, Enabled
05:14.1, 158.08 W, 250.00 W, Enabled
05:19.1, 146.54 W, 250.00 W, Enabled
05:24.1, 112.98 W, 250.00 W, Enabled
05:29.1, 165.10 W, 250.00 W, Enabled
05:34.1, 145.17 W, 250.00 W, Enabled
05:39.1, 102.29 W, 250.00 W, Enabled
05:44.1, 170.88 W, 250.00 W, Enabled
05:49.1, 154.87 W, 250.00 W, Enabled
05:54.1, 119.23 W, 250.00 W, Enabled
05:59.1, 169.93 W, 250.00 W, Enabled
06:04.1, 148.32 W, 250.00 W, Enabled
06:09.1, 160.00 W, 250.00 W, Enabled
06:14.1, 168.70 W, 250.00 W, Enabled
06:19.1, 107.14 W, 250.00 W, Enabled
06:24.1, 169.67 W, 250.00 W, Enabled
06:29.1, 163.88 W, 250.00 W, Enabled
06:34.2, 110.48 W, 250.00 W, Enabled
06:39.2, 167.51 W, 250.00 W, Enabled
06:44.2, 158.88 W, 250.00 W, Enabled
06:49.2, 107.39 W, 250.00 W, Enabled
06:54.2, 118.97 W, 250.00 W, Enabled
06:59.2, 152.26 W, 250.00 W, Enabled
07:04.2, 169.33 W, 250.00 W, Enabled
07:09.2, 113.14 W, 250.00 W, Enabled
07:14.2, 160.62 W, 250.00 W, Enabled
07:19.2, 159.34 W, 250.00 W, Enabled
07:24.2, 101.01 W, 250.00 W, Enabled
07:29.2, 164.98 W, 250.00 W, Enabled
07:34.2, 133.20 W, 250.00 W, Enabled
07:39.2, 110.23 W, 250.00 W, Enabled
07:44.2, 170.37 W, 250.00 W, Enabled
07:49.2, 143.72 W, 250.00 W, Enabled
07:54.2, 131.37 W, 250.00 W, Enabled
07:59.2, 172.62 W, 250.00 W, Enabled
08:04.2, 147.66 W, 250.00 W, Enabled
08:09.2, 146.85 W, 250.00 W, Enabled
08:14.3, 169.07 W, 250.00 W, Enabled
08:19.3, 133.45 W, 250.00 W, Enabled
08:24.3, 152.50 W, 250.00 W, Enabled
08:29.3, 110.29 W, 250.00 W, Enabled
08:34.3, 130.70 W, 250.00 W, Enabled
08:39.3, 36.58 W, 250.00 W, Enabled
08:44.3, 162.41 W, 250.00 W, Enabled
08:49.3, 158.05 W, 250.00 W, Enabled
08:54.3, 104.40 W, 250.00 W, Enabled
08:59.3, 173.57 W, 250.00 W, Enabled
09:04.3, 155.25 W, 250.00 W, Enabled
09:09.3, 105.69 W, 250.00 W, Enabled
09:14.3, 163.52 W, 250.00 W, Enabled
09:19.3, 155.65 W, 250.00 W, Enabled
09:24.3, 106.83 W, 250.00 W, Enabled
09:29.3, 147.83 W, 250.00 W, Enabled
09:34.3, 162.41 W, 250.00 W, Enabled
09:39.3, 163.28 W, 250.00 W, Enabled
09:44.3, 128.54 W, 250.00 W, Enabled
09:49.3, 164.73 W, 250.00 W, Enabled
09:54.3, 138.15 W, 250.00 W, Enabled
09:59.3, 129.08 W, 250.00 W, Enabled
10:04.3, 164.59 W, 250.00 W, Enabled
10:09.4, 107.40 W, 250.00 W, Enabled
10:14.4, 117.94 W, 250.00 W, Enabled
10:19.4, 161.70 W, 250.00 W, Enabled
10:24.4, 155.25 W, 250.00 W, Enabled
10:29.4, 91.41 W, 250.00 W, Enabled
10:34.4, 166.28 W, 250.00 W, Enabled
10:39.4, 152.82 W, 250.00 W, Enabled
10:44.4, 127.07 W, 250.00 W, Enabled
10:49.4, 135.49 W, 250.00 W, Enabled
10:54.4, 162.07 W, 250.00 W, Enabled
10:59.4, 161.20 W, 250.00 W, Enabled
11:04.4, 129.00 W, 250.00 W, Enabled
11:09.4, 164.35 W, 250.00 W, Enabled
11:14.4, 171.88 W, 250.00 W, Enabled
11:19.4, 119.39 W, 250.00 W, Enabled
11:24.4, 120.61 W, 250.00 W, Enabled
11:29.4, 165.09 W, 250.00 W, Enabled
11:34.4, 150.66 W, 250.00 W, Enabled
11:39.4, 108.79 W, 250.00 W, Enabled
11:44.4, 166.78 W, 250.00 W, Enabled
11:49.4, 148.32 W, 250.00 W, Enabled
11:54.5, 125.47 W, 250.00 W, Enabled
11:59.5, 163.38 W, 250.00 W, Enabled
12:04.5, 160.58 W, 250.00 W, Enabled
12:09.5, 149.93 W, 250.00 W, Enabled
12:14.5, 156.96 W, 250.00 W, Enabled
12:19.5, 109.33 W, 250.00 W, Enabled
12:24.5, 167.40 W, 250.00 W, Enabled
12:29.5, 153.81 W, 250.00 W, Enabled
12:34.5, 128.54 W, 250.00 W, Enabled
12:39.5, 169.44 W, 250.00 W, Enabled
12:44.5, 121.09 W, 250.00 W, Enabled
12:49.5, 125.47 W, 250.00 W, Enabled
12:54.5, 166.91 W, 250.00 W, Enabled
12:59.5, 123.28 W, 250.00 W, Enabled
13:04.5, 155.41 W, 250.00 W, Enabled
13:09.5, 167.49 W, 250.00 W, Enabled
13:14.5, 152.66 W, 250.00 W, Enabled
13:19.5, 137.43 W, 250.00 W, Enabled
13:24.5, 164.36 W, 250.00 W, Enabled
13:29.5, 106.17 W, 250.00 W, Enabled
13:34.5, 171.26 W, 250.00 W, Enabled
13:39.5, 146.30 W, 250.00 W, Enabled
13:44.5, 93.79 W, 250.00 W, Enabled
13:49.6, 107.14 W, 250.00 W, Enabled
13:54.6, 155.74 W, 250.00 W, Enabled
13:59.6, 156.85 W, 250.00 W, Enabled
14:04.6, 119.94 W, 250.00 W, Enabled
14:09.6, 170.54 W, 250.00 W, Enabled
14:14.6, 153.32 W, 250.00 W, Enabled
14:19.6, 101.86 W, 250.00 W, Enabled
14:24.6, 168.67 W, 250.00 W, Enabled
14:29.6, 152.34 W, 250.00 W, Enabled
14:34.6, 133.39 W, 250.00 W, Enabled
14:39.6, 171.36 W, 250.00 W, Enabled
14:44.6, 145.57 W, 250.00 W, Enabled
14:49.6, 165.80 W, 250.00 W, Enabled
14:54.6, 160.09 W, 250.00 W, Enabled
14:59.6, 123.26 W, 250.00 W, Enabled
15:04.6, 173.06 W, 250.00 W, Enabled
15:09.6, 94.82 W, 250.00 W, Enabled
15:14.6, 128.06 W, 250.00 W, Enabled
15:19.6, 166.70 W, 250.00 W, Enabled
15:24.6, 128.13 W, 250.00 W, Enabled
15:29.6, 137.67 W, 250.00 W, Enabled
15:34.7, 161.94 W, 250.00 W, Enabled
15:39.7, 102.83 W, 250.00 W, Enabled
15:44.7, 156.61 W, 250.00 W, Enabled
15:49.7, 152.20 W, 250.00 W, Enabled
15:54.7, 112.17 W, 250.00 W, Enabled
15:59.7, 166.18 W, 250.00 W, Enabled
16:04.7, 144.20 W, 250.00 W, Enabled
16:09.7, 128.06 W, 250.00 W, Enabled
16:14.7, 165.24 W, 250.00 W, Enabled
16:19.7, 167.66 W, 250.00 W, Enabled
16:24.7, 150.26 W, 250.00 W, Enabled
16:29.7, 102.77 W, 250.00 W, Enabled
16:34.7, 170.54 W, 250.00 W, Enabled
16:39.7, 157.10 W, 250.00 W, Enabled
16:44.7, 117.70 W, 250.00 W, Enabled
16:49.7, 166.43 W, 250.00 W, Enabled
16:54.7, 136.70 W, 250.00 W, Enabled
16:59.7, 125.86 W, 250.00 W, Enabled
17:04.7, 169.81 W, 250.00 W, Enabled
17:09.7, 99.43 W, 250.00 W, Enabled
17:14.7, 125.94 W, 250.00 W, Enabled
17:19.7, 167.51 W, 250.00 W, Enabled
17:24.7, 158.87 W, 250.00 W, Enabled
17:29.8, 165.55 W, 250.00 W, Enabled
17:34.8, 151.86 W, 250.00 W, Enabled
17:39.8, 118.60 W, 250.00 W, Enabled
17:44.8, 167.65 W, 250.00 W, Enabled
17:49.8, 160.58 W, 250.00 W, Enabled
17:54.8, 134.42 W, 250.00 W, Enabled
17:59.8, 166.78 W, 250.00 W, Enabled
18:04.8, 163.63 W, 250.00 W, Enabled
18:09.8, 165.55 W, 250.00 W, Enabled
18:14.8, 162.17 W, 250.00 W, Enabled
18:19.8, 110.55 W, 250.00 W, Enabled
18:24.8, 171.86 W, 250.00 W, Enabled
18:29.8, 154.52 W, 250.00 W, Enabled
18:34.8, 129.27 W, 250.00 W, Enabled
18:39.8, 164.12 W, 250.00 W, Enabled
18:44.8, 119.46 W, 250.00 W, Enabled
18:49.8, 105.44 W, 250.00 W, Enabled
18:54.8, 103.74 W, 250.00 W, Enabled
18:59.8, 172.48 W, 250.00 W, Enabled
19:04.8, 154.29 W, 250.00 W, Enabled
19:09.8, 128.29 W, 250.00 W, Enabled
19:14.9, 165.09 W, 250.00 W, Enabled
19:19.9, 109.75 W, 250.00 W, Enabled
19:24.9, 145.09 W, 250.00 W, Enabled
19:29.9, 165.40 W, 250.00 W, Enabled
19:34.9, 91.95 W, 250.00 W, Enabled
19:39.9, 167.25 W, 250.00 W, Enabled
19:44.9, 126.92 W, 250.00 W, Enabled
19:49.9, 113.15 W, 250.00 W, Enabled
19:54.9, 151.63 W, 250.00 W, Enabled
19:59.9, 160.09 W, 250.00 W, Enabled
20:04.9, 105.44 W, 250.00 W, Enabled
20:09.9, 171.75 W, 250.00 W, Enabled
20:14.9, 148.32 W, 250.00 W, Enabled
20:19.9, 90.01 W, 250.00 W, Enabled
20:24.9, 176.59 W, 250.00 W, Enabled
20:29.9, 145.42 W, 250.00 W, Enabled
20:34.9, 125.21 W, 250.00 W, Enabled
20:39.9, 169.44 W, 250.00 W, Enabled
20:44.9, 89.71 W, 250.00 W, Enabled
20:49.9, 127.33 W, 250.00 W, Enabled
20:54.9, 166.67 W, 250.00 W, Enabled
20:59.9, 143.55 W, 250.00 W, Enabled
21:05.0, 128.86 W, 250.00 W, Enabled
21:10.0, 165.09 W, 250.00 W, Enabled
21:15.0, 120.43 W, 250.00 W, Enabled
21:20.0, 126.68 W, 250.00 W, Enabled
21:25.0, 161.70 W, 250.00 W, Enabled
21:30.0, 156.95 W, 250.00 W, Enabled
21:35.0, 133.63 W, 250.00 W, Enabled
21:40.0, 166.94 W, 250.00 W, Enabled
21:45.0, 123.27 W, 250.00 W, Enabled
21:50.0, 107.86 W, 250.00 W, Enabled
21:55.0, 165.55 W, 250.00 W, Enabled
22:00.0, 142.58 W, 250.00 W, Enabled
