timestamp, pstate, clocks.current.sm [MHz], clocks.max.sm [MHz], clocks.current.memory [MHz], clocks.max.memory [MHz], memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], power.management
2025/04/13 21:35:51.222, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 88 %, 19 %, 43, 125.46 W, 250.00 W, Enabled
2025/04/13 21:35:56.226, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 95 %, 20 %, 43, 100.44 W, 250.00 W, Enabled
2025/04/13 21:36:01.234, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 95 %, 21 %, 44, 94.61 W, 250.00 W, Enabled
2025/04/13 21:36:06.238, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 89 %, 19 %, 44, 120.31 W, 250.00 W, Enabled
2025/04/13 21:36:11.242, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 94 %, 21 %, 45, 75.98 W, 250.00 W, Enabled
2025/04/13 21:36:16.246, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 93 %, 25 %, 45, 124.36 W, 250.00 W, Enabled
2025/04/13 21:36:21.250, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1938 MiB, 10255 MiB, 93 %, 25 %, 46, 121.99 W, 250.00 W, Enabled
2025/04/13 21:36:26.257, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 91 %, 26 %, 46, 121.70 W, 250.00 W, Enabled
2025/04/13 21:36:31.261, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 78 %, 23 %, 47, 101.90 W, 250.00 W, Enabled
2025/04/13 21:36:36.266, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 92 %, 25 %, 47, 119.72 W, 250.00 W, Enabled
2025/04/13 21:36:41.270, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 84 %, 22 %, 47, 111.74 W, 250.00 W, Enabled
2025/04/13 21:36:46.275, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 75 %, 21 %, 47, 113.07 W, 250.00 W, Enabled
2025/04/13 21:36:51.279, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 25 %, 48, 83.00 W, 250.00 W, Enabled
